"cle","summery"
"ch0114","product designer at blend. education lead at inneract project. previously at thumbtack, evernote, and uc berkeley."
"ch0115","i love people and technology and am passionate about building products and culture.,slack"
"ch0116","i'm a product designer with a background in software development, focused on research, ux strategy, and visual design. i'm passionate about designing solutions that are inclusive, delightful, and optimize human potential by following a human-centered design process.  i'm a voracious reader and blogger, motivating and helping women and minorities into the tech industry.  specialties  research, ux strategy, visual design, software engineering  skills user research, ux strategy, competitive analysis, card sorting, information architecture, heuristic evaluation, usability testing, wireframing, prototyping, animations"
"ch0117","as a designer, my ingenuity, curious nature, inherent keenness to listen-observe-absorb, enthusiasm to try out new techniques and approaches, not shying away from being a contrarian where needed, ability to recover from mistakes, and cultural adaptability give me that extra creative edge.    scott adams once said, creativity is allowing yourself to make mistakes. design is knowing which ones to keep.  * * * * * * * * * * * * * * * * * * * * * * * * * * *                               pen & paper     ideation     rapid prototyping     wireframing     storyboarding     interaction design     info architecture      mobile design                                       brainstorming     contextual inquiry     affinity diagramming     persona creation     usability study     journey mapping     heuristic evaluation                       &                                              sketch     adobe photoshop     adobe illustrator     adobe xd     invision     figma     uxpin     zeplin     html5     css3     javascript     jquery     angular     react                                           web apps     ios     android     adaptive websites     iot devices                               artificial intelligence     machine learning     enterprise solutions     iot     saas     b2b ecommerce,aishsingh_me"
"ch0118","experienced senior business development executive with a demonstrated history of working in the information technology and services industry. ultimately, i'm very much interested in all kind of web and mobile apps development for both android & ios, erp, e-commerce like grocery and management systems like hospitals and school management, etc., so we provide all kind of it projects & services.  skilled in public speaking, management, email marketing software, leadership, and marketing. strong business development professional with a bachelor of engineering - be focused in mechanical engineering from bharath university.   yogeshwar 8015243476 / 9176534989 / 7823997456 skype on  live ad32d7b9572c665a techtilt technologies pvt ltd,"
"ch0119","you already know your vision. i make it happen.   ** how do you hit that sweet spot between beauty and function  between opulent and affordable  between creative and practical  **  that   s my specialty. designing real-world spaces that work for modern businesses with the take-your-breath-away feel of luxury.   i deliver   - intriguing, eye-pleasing aesthetics     that complement your business   s function - timeless, classic character     that you won   t have to update next year - efficient, well-planned flow for your space     that   s still warm and inviting  whether you   re working with an existing design, looking to make small changes or a drastic overhaul     or starting completely from scratch with a new facility...i can bring your vision to life.   i have experience with  * offices * cafes and eateries * real estate projects * all aspects of hospitality * synagogues * healthcare * salons *  i love to take your ideas and build the entire concept around them, bringing to fruition a design that   s even more appealing than the image in your head.   because my goal is to make sure you are happy and you get what you want   - a customized design that fits the personality + function of your project - a clear, efficient design package that   s seamless to carry out  - an interior designer hyper-focused on every last detail  i   m ready to get started on your project."
"ch0120",",i   m a designer, entrepreneur, and product builder. throughout my career i have consistently created design-forward companies & products and led driven, efficiently run creative teams. my work spans product development, business operation, investing, strategy, brand, and design.  i work at thrive capital and actively advise and invest in companies that work in technology and the internet."
"ch0121","i recently spent the last year on the guest store team at airbnb. i helped ship the best checkout experience for millions of guests booking a home, and led design efforts for delivering the best checkout experience when booking an experience.   with expertise in human computer interaction, interaction design, and design research, i am passionate about shaping products inclusively, with quality, and scalability. but most importantly, creating products that keep all communities in mind.,"
"ch0122","when you learn to survive without anyone, you can survive anything little karthick had a dream that one day in his life, he could contribute skill and ideas to people in need"
"ch0123","i'm a final year student pursuing my b.tech in information technology from vit university, vellore.   i'm a tech enthusiast, passionate algorithmist and creative designer.   i manifest things into reality."
"ch0124","over the past 8 years i have been engaged in finding means to fully realize my potential in the area of design, not only web design but of design as a whole. i have obtained priceless experience in the design sphere, having worked in diversified environments and with people of different backgrounds and with different cultural perspectives. this experience has given me an opportunity to not only master my skills in design, but to better understand the needs of people, and how to interact with them in the most positive and effective way.  design influences every decision we make from the very beginning of our lives. i live and breathe the thinking necessary to reframe    traditional ideologies    and turn design into a    business tool   . through great design, i create not only beautiful concepts for products or services but also smart    new business practices    that deliver lasting value. i like to experiment with, explore and discover new opportunities that would further bridge the gap between business and design. my goal - is bringing up visual culture.  i need a people who challenge me  i like it when my clients are difficult  ) available for new opportunities in the sf bay area, sf, california. have a work permit in the usa,pasha_francuz,"
"ch0125","i am a techno-business leader who believes in co-creating value with every person that i interact with - my customers and my colleagues at work. i believe that there is always an unconventional means to leverage the human potential in making this world a better place and always strive for it.  - co-founded and built technology teams par excellence. - hands-on technology experience of having delivered products & solutions from vision to reality. - deep understanding of product vision, design, marketing and implementation dynamics.  technology expertise  software architecture, business intelligence, sharepoint solutions, cloud computing, saas, mobile,"
"ch0126","branding and marketing advisor for emerging brands & international startups. nova specializes in using psychology, design, and media, for impactful storytelling.      masters in clinical psychology     writer, creative director     fashion veteran, in the space since 2001    digital media veteran, in the space since 2007  as the founder & editor in chief of raine, nova curates the next big names in fashion, culture and technology, while inspiring and advising creative entrepreneurs around the globe.   as a content developer, nova identifies and produces inspiring visual and video content, as well as creates custom event experiences. in addition, she consults with creative decision makers on strategy, business development and brand positioning - maximizing the founder and company   s narrative for the greatest impact.  _______________________________________ about nova    award winning fashion designer, nova lorraine, launched raine magazine in 2007 to inspire, empower and educate creative entrepreneurs.   understanding the unique and challenging journey she experienced building her businesses, nova   s mission is to help millions worldwide to never give up on their dreams.    nova has interviewed some of the world   s most interesting entrepreneurs, socialites and cultural innovators"
"ch0127","focus on the importance of online communities as accessible spaces for underrepresented and marginalized communities. working at airbnb, i've inherited invaluable knowledge of managing communities at large. this inspired me to form my own project, intern.community, which gives interns an opportunity to network and connect outside of their interning company. in the past, i worked as a user experience designer and researcher in the tech4good social computing research lab.  additionally, i leverage my education in computer science to facilitate communication between designers and developers. in university, i was the president of cruzhacks, santa cruz's annual hackathon, and in industry, i'm able to align stakeholders from opposite disciplines using a mixed multidisciplinary language of specialist knowledge.,"
"ch0128","i have more four decades of experience of working with electronics and micro controllers and started learning intel 8035 in year 1979. i programmed intel 8085 using assembly and pl/m language.   since then, i have worked on new range of 8 bit micro controllers from motorola, philips, st micro, zilog, microchip, renesas in assembly and c language and 32 bit arm controllers from st, texas.  i am an electronic hobbyists and designer  and believe in continuous learning and training.  in the last 10 years, i have designed lot of designs/products which are commercially successful.  my strength has been to convert an idea into real shape and then give that design to various manufacturers who in turn take care of production, marketing and sales. i control the programmed micro controllers and get my profit from its sale. programmed micro controllers can not be copied so my profits remain assured.  i believe in sharing and have already made my seven most successful commercial designs open. i have published complete circuit, details and software in an electronic magazine efy.  specialties  embedded development, electronic controller for traffic lights, cctv switchers, vending machines, elevator/lift controllers, rgb led drivers, security systems, dali, dmx512"
"ch0129","i believe the 7.6 billion people we share this earth with can and should develop technical skills to help achieve whatever goals they have. i believe tech is the ultimate equalizer.   i spend my days living my purpose as principal advocate for microsoft's power platform--a product specifically designed for tech upskilling.   previously, i lead the global community of 17m people as the chief #ninjacat of the insider program at microsoft.   i spend my nights   - writing fiction and non-fiction books to help young professionals have the careers of their dreams  - running an ethically made fashion line called #primadonastyle tailored in nigeria, kenya and seattle - coaching entrepreneurs in emerging markets on how to turn idea into profit - sharing these stories on stages all over the world - coming up with more exciting schemes  my favorite, favorite job is being a bossy big sister to thousands of amazing humans who want to #dothething.    i was recently named one of fast company   s 100 most productive people in business and cosmopolitan magazine's businessperson of the year.  i love making new friends,"
"ch0130","an accomplished design leader, creative thinker, designer, and problem solver for 20 years. i have designed user experiences for products, services, and marketing initiatives for many different organizations/ clients/ brands, including startups, design agencies  i build and lead design teams by providing guidance and mentor-ship. my hands-on approach in creating and establishing the vision and product strategy empowers me and my team to build a cohesive end-to-end customer experience. built and lead many teams of talented ux designers, user researchers"
"ch0131","the founder & ux architect at mutual design   . prior to starting up, srikanth led the ux studio at deloitte digital, hyderabad and also led the ux practice for hitachi consulting, india offices in an earlier role. an expert in hci usability, rapid prototyping, interaction design, ux writing, product design, service design & ux training.   a brand manager turned designer who brings in a comprehensive perspective towards ux design by discovering the needs of a business, brand & customers in tandem. srikanth strongly believes in the power of human factors, usability, accessibility and everything user centered design to bring in a radical change and exponential success to any business.   an alumnus of xlri, jamshedpur, a certified usability analyst (cua) by human factors international and certified in service design by copenhagen institute of interaction design. srikanth is an avid reader, a fervent learner and passionate about space, aviation, paramotors, snooker, food & travel.  values  self-reliance"
"ch0132","i love solving problems. be it counselling a heart-broken friend or breaking my head to build a complex ux flow - i do them all. i am an engineer from the prestigious indian institute of technology madras but i chose digital experience designing as my profession because problem-solving can go well beyond the limits of engineering.   as a professional, i have worked with some of the well known startups of india like housing.com, zeta and many other big and small names around the world. i presently oversee consumer design at swiggy, india   s largest food ordering and delivery platform.  also, i have delivered 50+ ux talks / workshop at various places including big names like amazon, grab, shopee, practo, idc iit bombay, iit guwahati, nid bangalore etc. when i am not designing, i am either drafting my next design talk, or travelling in some far off country. if you think i sound interesting, drop me a message. we can catch up over a cup of coffee  ),saptarshipr,"
"ch0133","experienced human resources manager with a demonstrated history of working in the information technology and services industry. skilled in administration, management, management information systems (mis), recruiting, and performance management. strong human resources professional with a masters of business administration focused in hr from mahakal institute of management,"
"ch0134","web designer ( exp- 2to 4 years) html5, css3, dream viewer, photoshop, bootstrap, responsive  2. sr. php developer ( exp- 1.5 years to 4 years) cake php, core php, wordpress, joomla, drupal, ajax, jquery, magento etc  3. php team leader ( exp- 2 to 5 years as sr. web developer) or( exp- 1-2 years as team leader)"
"ch0135","i am a highly motivated individual aspiring to be a part of an organization where i can apply my knowledge acquired in a practical situation contributing to an organization efficiently while utilizing my abilities and experiences as well as enhance my skills and grow as a professional."
"ch0136","skateapparel"
"ch0137","i am a speculative designer interested in the implications of technology in our society. my prior works falls under the domain of interaction design and digital art.  my work have been published in wired, fastcodesign, core77, arduino blog, cnn, creativeapplications, animal newyork, psfk, pitapixels, complex etc. and also has been exhibited internationally at the acm siggraph and yahoo! usid academic showcase.  i currently live in seattle and work for google. previously, i graduated from the royal college of art, london and national institute of design, india. i give workshops and teach creative coding and projection mapping techniques at various universities.  i have worked for microsoft inc, google uk, google india and have interned at google, uk and local projects, nyc where my works include developing several interactive solutions for cleveland museum of art, civil debate interactive wall at the bob graham centre for public service"
"ch0138","i am eager to work for a growth oriented organization and be part of a designing team where i can noticeably render my creative skills through fashion designing, styling, illustration, draping, and interpersonal skills. i have obtained diploma in fashion designing after graduation. i have achieved many certificates and awards for my creative skills. my interests lies in modern trends and fashion. my designs are inspired from nature and creative art."
"ch0139","i   m a motivated, curious and fun-loving person who believes in pleasant experiences going a long way  be it with the people you meet or the products you interact with. i   m passionate about designing such experiences that aid people to do what they do best  be human.,"
"ch0140","multidisciplinary designer, speaker, writer, and digital creator based in detroit. currently working on the next generation of in-vehicle interactive experiences as a senior product designer at general motors. author of laws of ux."
"ch0141","being a creative designer i enjoy thinking uniquely with ideas and trying something new and exciting. everyday i am trying to expand my skills set and always willing to learn something new. i am extremely dedicated to what i create and strive for the best work possible. my previous experiences include interactive design, user experience, web design and print design. by completing these assignments have increased my skills in all adobe design suite programs."
"ch0142","experienced smart product designer with a demonstrated history of working in the smart watch & lighting manufacturing industry. skilled in product design,rendering,on-demand design,computer-aided design (cad), concept generation."
"ch0143","talented graphic design lead with 8 years experience in print and web design who is highly motivated, creative, and versatile. especially skilled in creating and directing corporate and new business design. adept at innovating user experience for the web and multimedia applications. exceptional interpersonal skills with team members and subordinates. accomplished at incorporating the desires of the client with a superior design solution. seeking a company that demands high-quality design to further business goals and professional image."
"ch0144","dear sir/madam,  this has reference to the said position as advertised by you on naukri.com. i have the requisite qualifications and experience for the position advertised & would be interested to apply for the said vacancy. kindly note that i am presently working as a teaching faculty (temp) at nsic (a govt. of india enterprise) since the year 2008  & part time job shri shiv shakti publications. my present earnings per month are rs. 35,000/-& the expected salary is in the range of rs. 40,000/- to rs. 50,000/- per month. the notice period required by me to join the job is 7 to 14 days.  please find attached my resume for your kind perusal. hope that you would find the above in order. request you to contact me in case you may require any further details etc.  thanks & regards,"
"ch0145","a versatile art performer, craftsmanship spirit i specialized in textile design, oil painting, and trend board design.   my talents of color interpretation, in combination with my intricate hand-painting design skills, are my core competencies. (design)  i first started researching classicism. after years, i developed a lifelong interest in post-impressionism and impressionism through the use of bright colors and light. i was deeply inspired by ukiyo-e of japanese art also. by absorbing all these qualities into my painting, you may sense the uniqueness of my art. (painting),"
"ch0146","interior.product.landscape.exterior.designer. vastu.civil.architectural.consultant  experienced freelance interior designer with a demonstrated history of working in the design industry. skilled in design software like autocad, 3ds max, vray, also have knowledge of microsoft power point msword and other ms office software   s, exterior design, product design, landscape design, public speaking, and construction. strong arts and design professional with a bachelor of vocation, interior design focused in interior design from devi ahilya vishwavidyalaya, "
"ch0147","helping great ideas win over skeptical markets by creating brilliant content and resilient systems of communication.,realbenemerson,"
"ch0148","my key career highlights at airbnb include  asset optimization (image cropping, icons, illustrations) icon design (airmojis, indicators, system icons) localization & screen building (marketing, pr, app store) redline/specs (design cleanup, engineering handoff) templates/libraries (dls, product team specific) visual qa (screenshots, design comparisons, audits),aiboozy,"
"ch0149","a creative recruiter trying to get back into the swing of making excellent work for awesome clients. with a background in visual design, advertising, and art direction he uses his talents to design and illustrate high quality imagery from conception to launch. additional experience in project management, cross-department collaboration, and client relations enables this candidate to not only generate creative assets, but coordinate the entire pre/post production process as well.,ohnoneilio,"
"ch0150","with more than 14 years of experience, eli started at a very young age, fueled by his passion for classic design (paul rand, saul bass, ray and charles eames, rowena reed, dieter rams, etc.), which later combined with the acquired love for mathematics and computer science. he saw both of these art forms blended in the visual effects industry. eli has worked on numerous films, trailers, and television projects such as snow white and the huntsman, journey 2  the lost island, robocop, ironman 3, carrie, orphan black, joss whedon   s first feature serenity, video games"
"ch0151","synopsis  creative leader & mentor. methodical print designer turned digital technician. visual storyteller. amateur atari player. semi-pro nintendo player. athletic junky. aspiring clothing designer. amateur chef. chicken wing connoisseur. boston terrier dad.   bio  a drive and passion instilled from a mother who had me at 18. . a compassion and camaraderie taught while playing little league sports. . a competitive nature obtained from the wet grass to the concrete courts of buffalo, ny. . a student to great leadership gained from my grandfather. who was a professional baseball player. . an old school mentality. work hard and have passion in all that you do. the rest will take care of itself. . a deep affection for the art and process of storytelling. creating work grounded in human truth. . a love and respect for team collaboration and honest communication.  . . . career  first degree, design. second degree, marketing. . two decades of experience in client and agency facing roles. ranging from sr. designer to creative director. . work in the ad world includes  allstate, kraft, coors light, samsung, philip morris, boost mobile, suntrust bank, people inc, seneca resort & casinos, and fraser yachts worldwide. . freelance work includes  new era cap co., dick   s sporting goods, heineken, the charlotte hornets, sacramento kings, and philadelphia eagles. . most recent  learning an invaluable education. thank you"
"ch0152","maurice mo woods has over 10 years experience in both print and interactive media. he played basketball professionally worldwide for 7 years, taught undergraduate classes and served as an advisor to graduate students at multiples colleges. he has lectured nationally and internationally and contributed to various media outlets including the wall street journal. maurice self-published, envisioning blackness in american graphic design, a look at how visual aesthetics plays a significant role in advancing the identity of african american culture.   he served as co-chair of education for the aiga san francisco and nationally as a board of advisor for the diversity archive collection exhibition. currently he sits on the board for design ignites change. maurice is also a jefferson award winner. "
"ch0153","every product has an experience.   experiences that will not only engage, inform, and delight their users  but that will also deliver on measurable business goals. as an industrial designer, i design the product that consumer   s experience.  i help corporations empathize with their customer, and then i design engaging concepts that address the product user's needs.  currently, i am a lead industrial designer for 3m design in minneapolis, mn. i lead the industrial design on confidential and new product development for 3m   s healthcare portfolio.  my specialties include user-centered research methods, advanced concept design, 2d/3d visualization, and rapid prototyping. my design work has been recognized with international design awards and featured in the madison, wi museum of contemporary art."
"ch0154","a curious, self driven designer fascinated by how people interact and use emerging technologies, i derive inspiration by observing and engaging with them. i have enjoyed working on concepts and services that include ethnographic research, strategy design and human centered design.,"
"ch0155","creative freelance graphic designer with over two years    experience in developing engaging and innovative digital and print designs for clients in a broad range of industries. highly adept at visual strategy, layout development, branding, and print and new media advertising. help clients achieve business development and business growth goals through forward-thinking graphic designs and strategiesservices  logo design       brand identity       packaging design       brochure design       website design       product photography,yugeshiwaram,"
"ch0156","i am a design generalist having versatile experiences in different fields of design. i collaborate with people, teams, and businesses to develop design systems, strategies, and processes to create more meaningful and visually appealing experiences. right now, i am working under the realm of enterprise products. in the other half, you can find me fueled up by comics, hip-hop, and some delicious burgers        "
"ch0157","i'm a strategic, enthusiastic designer, with a focus on creating fun, interactive, and intuitive products. i crave continuous study in behavioral and cognitive psychology. "
"ch0158","i'm a visual designer specialized in ui/ux, web, mobile & product design. in this field i have more than 10 years of experience. i   m a multitasker with an excellent eye for design, imaginative, well-organized, good-natured, flexible and passionate, who could bring an advanced understanding of visually pleasant and user friendly design, typography, composition and color theory. i love clean and minimalist designs,    simple is better. i believe in simple experiences and inclusive for diverse people."
"ch0159","seasoned user experience and information architect with ability to build exceptional user experiences, expand market share, and increase usability and customer retention. effectively utilizes advanced user research strategy to design solutions that meet consumer and business objectives. demonstrates ability to interview multiple user personas to uncover consumer experiences, problems, and pain points as well as organize the data into scalable market demand and a value proposition with maximum growth potential. ability to communicate important design decisions with key stakeholders and team members. creative design skills that produce viable web and mobile solutions to that solve significant problems within various industries and user scenarios. ability to quickly conceptualize solutions using design thinking, user research, and low/high fidelity prototyping. growth strategy expert with ability to create high growth potential products and detailed high level growth plans as well as implement user testing and analytic metrics to measure results.  technical skills    highly experienced with wireframing and prototyping tools such as invision, axure, balsamiq, ux pin, indigo, and justinmind experienced using flow chart and diagramming software such as lucidchart, gliffy, and visio expert level interaction design skills with tools such as principle and flinto, as well as collaborative design tools like figma expert with adobe photoshop, adobe xd, sketch, adobe illustrator, adobe muse"
"ch0160","ux & supply planning professional with a working history in the tech industry.  skilled in user experience, user research, user interface design, design thinking, interaction design, prototyping, and cross-communication. passionate about utilizing ui/ux and supply chain knowledge to create friendly digital experiences.,"
"ch0161","soo yun kim is an emmy award-winning designer in mobile product, interaction, and ui/ux design based in new york with a passion for creating digital products, creative design senses, strong interpersonal capabilities, leadership, and attention to detail.    she is a speaker, has presented at a variety of conferences, organizations, meetups, companies, and universities including uxpa norfolk, ahfe, adobe, bkproductdesign, binghamton university, fit, parsons"
"ch0162","master of product design & engineering(m.des) (product designers design with plastic,metal n wood. ..like fashion designers do with cloth... ..but we sit in diggy n fashion designers on driving seat!!) ..indian institute of science, iisc,bangalore ..b.e. mechanical engineering "
"ch0163","i'm a user experience/human factors researcher and cultural explorer. i started off my research career looking at cross-cultural use of technology which led to fieldwork in japan and the netherlands as well as forays into global wikipedia communities. at last count i've been to 34 countries. in my free time, i frequently volunteer as an usher at local theaters and festivals. i'm also passionate about neurodiversity and mental health.   i am currently looking for new opportunities in ux/human factors research. i am also a  certified scrum product owner  specialties  ux research, ethnography, design thinking, usability testing, human factors, medical informatics, user-centered design,  healthcare it, product management, social media, native spanish speaker"
"ch0164","a graduate of new york school school of interior design, avigail is now a mother of 5 running a company in high demand in nyc and nationwide.   in 2010 avigail founded her firm after working as an in house designer for a new york based operator of high end assisted living and skilled nursing facilities as well as a lead designer for a healthcare specialty construction company specializing in skilled nursing renovation. over the last decade, avigail has built an unparalleled reputation for skillful design and discerning accommodations in the healthcare, commercial, corporate, hospitality, and multi family sectors.  avigail has a powerful voice on linkedin amongst her network and beyond. she has quickly grown her linkedin connections to over thirty  five thousand followers. her style is approachable and firm which is valued by all who engage with her.    avigail eisenstadt design group   ae design group offers boutique elegance and cutting-edge design, delivered with a passion for excellence and tailored to your unique needs.    all of our designers have been trained in the finest and most prestigious institutes of design and bring with them years of successful and dazzling projects.    we have cultivated a network of preferred vendors to maximize value and offer the highest quality products.    each project is designed economically with optimal efficiency and effective use of space."
"ch0165","ux designer with strong visual design chops.  i'm passionate about interior design, fashion, travel, food, music, mental health awareness, inclusivity, community, and empowering women    "
"ch0166","hello there. i am a product designer focused on designing physical and digital products that empower people to live better lives.,mercury - banking for startups,product designer"
"ch0167","i am a firm believer of design-lead social impact.   i aspire field of design that ought to be accessible to those who need it most. design requires a fine balance of user empathy, usability, aesthetics, keen business acumen and a deep understanding of the users.,"
"ch0168","#webdesigner #webdeveloper #seo #wordpress #blogger #digitalmarketing #bloggerinfluencer #jainism"
"ch0169","i'm a ux designer with an eye for detail. i'm always excited to dive into a situation to determine pain points, brainstorm ideas, and test out what actually works. i most recently worked in the b2b/saas space for restaurant365, where i designed enterprise-level accounting/operations software for restaurants.  i'm looking for a full-time role in la and am searching for a team that values design, has a structured and clear roadmap, and has committed and charismatic leadership at the helm. please contact me if you have something in mind. i'd love to hear from you!,"
"ch0170","author of post covid-19 reboot, a definitive guide to open your restaurant or bar after the shelter. robert ancill is the ceo of and the next idea group. widely considered an authority on emerging and future food trends, restaurant concepts, brand positioning, food service, and design.   based in los angeles, robert has overseen the launch of over 89 new brands and 800 restaurant or caf   openings or remodels. he has worked or consulted with clients in over 24 countries.  born and raised in glasgow, scotland, robert joined the glasgow college of food technology and graduated with the hcima qualification. during his career, robert worked for a range of well-known corporations including  aroma caf   group, the house of albert roux, planet hollywood, house of fraser, safeway, panera bread and hms host.  in 2002 robert founded the next idea, a high energy, innovative international restaurant consulting agency that simply provides     the next idea. the agency specializes in new food and restaurant concept development"
"ch0171","a passionate designer who wants to bring solutions by keeping users in centre all the time."
"ch0172","experienced web designer with a demonstrated history of working in the information technology and services industry. skilled in search engine optimization (seo), corporate website management, user experience, php, and wordpress. strong information technology professional with a bachelor of engineering (b.e.) focused in computer science engineering from einstein college of engineering."
"ch0173","key skills  -structural analysis -structural dynamics -buildings rcc/steel -design of composite structures (intermediate). -design of prestressed concrete structures (intermediate). -design of masonry structures."
"ch0174","hi! i'm a senior design major at uc davis with a focus in user experience design.  i work at the intersection of design, business, and research - incorporating a data-driven approach to a user-centered perspective. my background working in a variety of settings  academic, start-up, non-profit, and enterprise allows me to be adaptable and prioritize in ambiguous environments."
"ch0175","hi, i am sudhir i have experience of 7+ year in graphic designing, ui designing, and motion graphics  "
"ch0176","gather and evaluate user requirements in collaboration with product managers and engineers  illustrate design ideas using storyboards, process flows and sitemaps  design graphic user interface elements, like menus, tabs and widgets  build page navigation buttons and search fields  develop ui mockups and prototypes that clearly illustrate how sites function and look like  create original graphic designs (e.g. images, sketches and tables)  prepare and present rough drafts to internal teams and key stakeholders  identify and troubleshoot ux problems (e.g. responsiveness)  core skills/ specialties *--    mobile app design for ios & android    responsive web design    user experience (ux)    user interface (ui)    low and high fidelity psd mock-ups  i use creative ways to solve a design problem  i posses strong user experience and analytical skills for both web and mobile.,"
"ch0177","hello! originally from toronto, i graduated from ocad university in graphic design. i moved to san francisco to join linkedin's design team. i love working with people and my skills range from visual to user experience design. also a painter on the side!  "
"ch0178","i   m a passionate, empathetic ux designer driven to make a positive impact by applying human-centered design to real world problems. i love to create responsive digital products for all screen types that are easy to use and fun for the user. i believe great ux is learning, observing, ideating, iterating and testing.  as an ui/ux designer i have a strong portfolio of web application design that shows a fluency in adobe creative cloud, balsamiq, adobe xd, invision, framer, figma, camtasia, html3, css and unique ways to create wire-frames and cutting comps. while maintaining focus on business goals i never lose sight of developing a maximized user-centered experience. that means meshing your client   s intent and the target audience."
"ch0179","with over 20 years of experience, i have worked in companies small to large, start-up to established, and retail to services. starting in graphic design, bringing a user-design-thinking approach to brand strategy, creative, marketing, operations, and customer experience for enhanced interaction user experience design.   open to connecting for business opportunities, idea sharing, and coffee chats."
"ch0180","creative director with over 10 years of experience working for fortune 500 clients, as well as agencies of all sizes.     start-up mentality with experience managing teams in large organizations.     passionate about visual design as a way to communicate with customers.  i've been blessed with the opportunity to work for a number of amazing agencies that have given me the opportunity to work with clients like     walmart     harley-davidson     hilton     honda     salvation army     honey baked ham     many others  i thrive in cultures where leaders and managers lead by example, roll up their sleeves, and support the teams that deliver a finished product that provides maximum benefit to the client.  whether i'm managing a team or contributing as an individual, i believe that passion for the project, respect for diverse viewpoints, and respect for colleagues and clients is critical.      artistic perspective       i love to create works that marry my client's brand and voice with the message they are trying to communicate to the customer.  i believe that images have a way of expressing what text cannot. emotion. feeling. aspirations. as a motion graphics designer, i also love to push into video to help expand upon that visual impact.  as both an artist and a client-facing collaborator, i know that the real goal of what we do is influencing or changing behavior. that's the focus of my inclusive management style as well as how i set objectives for our final work product. at the end of the day, it resonates with both clients and their customers.,"
"ch0181","nice to meet you! i'm michelle!  i'm a third-year design major at the university of california, davis. i was previously an experience design intern at airbnb on the internal tools team for airbnb plus and will be returning to intern again in summer 2020. currently, i am the director of design at hackdavis, where i lead the creative vision of a student-run hackathon. i am also co-director of design at creative media, a design firm on campus where i co-lead a team of visual designers to create graphics and branding identities for everything on campus from coffee shops to music festivals  i began my design journey in high school, where my passion for fine arts turned into designing a variety of graphics for clubs and organizations on campus. i always wondered how i could create a greater impact and how i could use design to help people. my curiosity led me to the user experience design program from the university of california, san diego, where i learned that design is much more than simply aesthetics.  i am striving to become someone with multidisciplinary perspectives and to use my skills and experience to work seamlessly and collaboratively to push the boundaries of human-centered design. i am always hungry to learn and improve and loves seeking new challenges to continually develop myself."
"ch0182","my dream is to become a great storyteller. my dream is to bring my characters to life and share their stories, their passions, struggles, flaws, and dreams to the world."
"ch0183","seasoned ict consultant with 20 years experience in the structured cabling and data center co-location industry.  responsibilities include production of cad/revit design drawings, mdf/idf-elevations-power/cooling requirements, horizontal/vertical cable design, equipment specifications & spreadsheet, vendor response leveling, submittal & rfi responses, field surveys, project punch list, and other tasks necessary required for a turn-key solution."
"ch0184",",designer and entrepreneur interested in how people interact with the world. i create products, services and experiences using design and technology.    specialties  human centered design, service design, experience design, interaction design, design thinking, design research, brand strategy, and business design.,wedistill"
"ch0185","i want to be a lighthouse for people who are truly passionate about the impact of the work they do  with my team at the ronin, i   m closing the generational comprehension gap.   young people with their cancel culture, twitter fingers, and severe mental health problems, have the exact same problem as the brands trying to reach them. there   s an indisputable lack of empathy between young people and the rest of the world.   the gap is two sided    there   s a difference between having the emotional intelligence to understand a problem, and having the empathy to solve it.   we built the ronin to enable brands, creators and people to be empathetic to their community or audience.   we built the kinyu to enable us to be empathetic to our own.   in order to build win win solutions between your brand and the community you   ve built around it, people have to empathize with others.   that   s where our emphasis on design comes from ( not simply graphic design, but design in a holistic sense). design + empathy, that   s the key.   if i message you, it   s because as cliche, annoying, and oversaid as this is... nothing makes me happier than being able to help people help others. so let's chat! i have cliches for days."
"ch0186","dedicated professional with a bachelor of applied science (b.a.sc.) in workforce education & development from southern illinois university, carbondale. career-oriented professional with over 15 years of leadership and management experience, focusing the past five years on adult education.  extensive background in training development, facilitation, team building, motivating, mentoring and coaching. excellent problem solver with keen attention to detail while striving to build lasting relationships in dynamic work environments. highly effective public speaker and skilled trainer focused on continuing education and course improvement processes. over the past 15 years, i've led teams ranging from 2-20 employees, while developing tomorrows future leaders with one of the most respected organizations in the world.  a hallmark of my products is integrity and excellence.   hard and soft skills that i possess that will bring value to my employer are          program management                       public speaking, instruction       team building       business administration       mentoring        coaching       relationship building       microsoft products i.e., excel, outlook, word,       powerpoint       attention to detail       strong verbal/written communication       delegation/empowering       scheduling       project management       cross functional team leadership       presentation skills       instructional system design & course delivery       time management       talent development       problem solving        training  i come to work prepared, and give my best day in and day out to my team and organization.  i'm loyal, driven and motivated, and seek to not only better myself, but to motivate others as well"
